_id,reactant,product,reaction,condition,template_r0,template_r1
64,C#N.CI,CC#N,[CH:2]#[N:3].[CH3:1]I>>[CH3:1][C:2]#[N:3],,[C;H0;D2;+0:2]-[CH3;D1;+0:1]>>I-[CH3;D1;+0:1].[CH;D1;+0:2],[CH3;D1;+0:1]-[C;H0;D2;+0:2]#[N;D1;H0:3]>>I-[CH3;D1;+0:1].[CH;D1;+0:2]#[N;D1;H0:3]
65,OC.C#N,CC#N,O[CH3:1].[CH:2]#[N:3]>>[CH3:1][C:2]#[N:3],,[C;H0;D2;+0:2]-[CH3;D1;+0:1]>>O-[CH3;D1;+0:1].[CH;D1;+0:2],[CH3;D1;+0:1]-[C;H0;D2;+0:2]#[N;D1;H0:3]>>O-[CH3;D1;+0:1].[CH;D1;+0:2]#[N;D1;H0:3]
66,c1ccccc1.ClC(=O)C,c1ccccc1C(=O)C,[cH:1]1[cH:2][cH:3][cH:4][cH:5][cH:6]1.Cl[C:7](=[O:8])[CH3:9]>>[cH:1]1[cH:2][cH:3][cH:4][cH:5][c:6]1[C:7](=[O:8])[CH3:9],AlCl3,[C;H0;D3;+0:1]-[c;H0;D3;+0:2]>>Cl-[C;H0;D3;+0:1].[cH;D2;+0:2],[C;D1;H3:2]-[C;H0;D3;+0:1](=[O;D1;H0:3])-[c;H0;D3;+0:5](:[c:4]):[c:6]>>Cl-[C;H0;D3;+0:1](-[C;D1;H3:2])=[O;D1;H0:3].[c:4]:[cH;D2;+0:5]:[c:6]
67,C1=CC=CC2=CC=CC=C21.ClC(=O)C,O=C(C1=CC=CC2=CC=CC=C21)C,[CH:3]1=[CH:4][CH:5]=[CH:6][C:7]2=[CH:8][CH:9]=[CH:10][CH:11]=[C:12]12.Cl[C:2](=[O:1])[CH3:13]>>[O:1]=[C:2]([C:3]1=[CH:4][CH:5]=[CH:6][C:7]2=[CH:8][CH:9]=[CH:10][CH:11]=[C:12]12)[CH3:13],AlCl3,[C;H0;D3;+0:1]-[c;H0;D3;+0:2]>>Cl-[C;H0;D3;+0:1].[cH;D2;+0:2],[C;D1;H3:2]-[C;H0;D3;+0:1](=[O;D1;H0:3])-[c;H0;D3;+0:5](:[c:4]):[c:6]>>Cl-[C;H0;D3;+0:1](-[C;D1;H3:2])=[O;D1;H0:3].[c:4]:[cH;D2;+0:5]:[c:6]
68,C1=CC=CC2=CC=CC=C21.ClC(=O)C,O=C(C1=CC2=CC=CC=C2C=C1)C,[CH:11]1=[CH:12][CH:3]=[CH:4][C:5]2=[CH:6][CH:7]=[CH:8][CH:9]=[C:10]12.Cl[C:2](=[O:1])[CH3:13]>>[O:1]=[C:2]([C:3]1=[CH:4][C:5]2=[CH:6][CH:7]=[CH:8][CH:9]=[C:10]2[CH:11]=[CH:12]1)[CH3:13],"AlCl3,PhNO2,200℃",[C;H0;D3;+0:1]-[c;H0;D3;+0:2]>>Cl-[C;H0;D3;+0:1].[cH;D2;+0:2],[C;D1;H3:2]-[C;H0;D3;+0:1](=[O;D1;H0:3])-[c;H0;D3;+0:5](:[c:4]):[c:6]>>Cl-[C;H0;D3;+0:1](-[C;D1;H3:2])=[O;D1;H0:3].[c:4]:[cH;D2;+0:5]:[c:6]
69,CC(=O)O.C[Li],CC(=O)C,[CH3:1][C:2](=[O:3])O.[CH3:4][Li]>>[CH3:1][C:2](=[O:3])[CH3:4],C[Li],[C;H0;D3;+0:1]-[CH3;D1;+0:2]>>O-[C;H0;D3;+0:1].[CH3;D1;+0:2]-[Li],[C;D1;H3:2]-[C;H0;D3;+0:1](-[CH3;D1;+0:4])=[O;D1;H0:3]>>O-[C;H0;D3;+0:1](-[C;D1;H3:2])=[O;D1;H0:3].[CH3;D1;+0:4]-[Li]
70,CCO.CC(=O)Br,CC(=O)OCC,[CH3:6][CH2:5][OH:4].[CH3:1][C:2](=[O:3])Br>>[CH3:1][C:2](=[O:3])[O:4][CH2:5][CH3:6],,[C;H0;D3;+0:1]-[O;H0;D2;+0:2]>>Br-[C;H0;D3;+0:1].[OH;D1;+0:2],[C:4]-[O;H0;D2;+0:5]-[C;H0;D3;+0:1](-[C;D1;H3:2])=[O;D1;H0:3]>>Br-[C;H0;D3;+0:1](-[C;D1;H3:2])=[O;D1;H0:3].[C:4]-[OH;D1;+0:5]
71,CCO.CC(=O)OC(=O)C,CC(=O)OCC,[CH3:6][CH2:5][OH:4].CC(=O)O[C:2](=[O:3])[CH3:1]>>[CH3:1][C:2](=[O:3])[O:4][CH2:5][CH3:6],H+,[C;H0;D3;+0:1]-[O;H0;D2;+0:2]>>C-C(=O)-O-[C;H0;D3;+0:1].[OH;D1;+0:2],[C:4]-[O;H0;D2;+0:5]-[C;H0;D3;+0:1](-[C;D1;H3:2])=[O;D1;H0:3]>>C-C(=O)-O-[C;H0;D3;+0:1](-[C;D1;H3:2])=[O;D1;H0:3].[C:4]-[OH;D1;+0:5]
72,CC(=O)Cl.OCC,CC(=O)OCC,[CH3:1][C:2](=[O:3])Cl.[OH:4][CH2:5][CH3:6]>>[CH3:1][C:2](=[O:3])[O:4][CH2:5][CH3:6],,[C;H0;D3;+0:1]-[O;H0;D2;+0:2]>>Cl-[C;H0;D3;+0:1].[OH;D1;+0:2],[C:4]-[O;H0;D2;+0:5]-[C;H0;D3;+0:1](-[C;D1;H3:2])=[O;D1;H0:3]>>Cl-[C;H0;D3;+0:1](-[C;D1;H3:2])=[O;D1;H0:3].[C:4]-[OH;D1;+0:5]
73,CC(C)C(Br)(C)C,CC(C)=C(C)C,[CH3:5][CH:4]([CH3:6])[C:2](Br)([CH3:3])[CH3:1]>>[CH3:1][C:2]([CH3:3])=[C:4]([CH3:5])[CH3:6],NaOEt,[C;H0;D3;+0:1]=[C;H0;D3;+0:2]>>Br-[C;H0;D4;+0:1]-[CH;D3;+0:2],[C;D1;H3:2]-[C;H0;D3;+0:1](-[C;D1;H3:3])=[C;H0;D3;+0:4](-[C;D1;H3:5])-[C;D1;H3:6]>>Br-[C;H0;D4;+0:1](-[C;D1;H3:2])(-[C;D1;H3:3])-[CH;D3;+0:4](-[C;D1;H3:5])-[C;D1;H3:6]
74,CC(C)C(Cl)(C)C,CC(C)=C(C)C,[CH3:5][CH:4]([CH3:6])[C:2](Cl)([CH3:1])[CH3:3]>>[CH3:1][C:2]([CH3:3])=[C:4]([CH3:5])[CH3:6],,[C;H0;D3;+0:1]=[C;H0;D3;+0:2]>>Cl-[C;H0;D4;+0:1]-[CH;D3;+0:2],[C;D1;H3:2]-[C;H0;D3;+0:1](-[C;D1;H3:3])=[C;H0;D3;+0:4](-[C;D1;H3:5])-[C;D1;H3:6]>>Cl-[C;H0;D4;+0:1](-[C;D1;H3:2])(-[C;D1;H3:3])-[CH;D3;+0:4](-[C;D1;H3:5])-[C;D1;H3:6]
75,CC(C)C(I)(C)C,CC(C)=C(C)C,[CH3:5][CH:4]([CH3:6])[C:2](I)([CH3:1])[CH3:3]>>[CH3:1][C:2]([CH3:3])=[C:4]([CH3:5])[CH3:6],,[C;H0;D3;+0:1]=[C;H0;D3;+0:2]>>I-[C;H0;D4;+0:1]-[CH;D3;+0:2],[C;D1;H3:2]-[C;H0;D3;+0:1](-[C;D1;H3:3])=[C;H0;D3;+0:4](-[C;D1;H3:5])-[C;D1;H3:6]>>I-[C;H0;D4;+0:1](-[C;D1;H3:2])(-[C;D1;H3:3])-[CH;D3;+0:4](-[C;D1;H3:5])-[C;D1;H3:6]
76,CC(O)CC.[K+].O=[Mn]([O-])(=O)=O,CC(=O)CC,[CH3:1][CH:2]([OH:3])[CH2:4][CH3:5].[K+].O=[Mn]([O-])(=O)=O>>[CH3:1][C:2](=[O:3])[CH2:4][CH3:5],"KMnO4,OH-",[C;H0;D3;+0:1]=[O;H0;D1;+0:2]>>[CH;D3;+0:1]-[OH;D1;+0:2],[C:1]-[C;H0;D3;+0:2](-[C;D1;H3:3])=[O;H0;D1;+0:4]>>[C:1]-[CH;D3;+0:2](-[C;D1;H3:3])-[OH;D1;+0:4]
77,CC(O)CC,CC(=O)CC,[CH3:1][CH:2]([OH:3])[CH2:4][CH3:5]>>[CH3:1][C:2](=[O:3])[CH2:4][CH3:5],CuCrO4,[C;H0;D3;+0:1]=[O;H0;D1;+0:2]>>[CH;D3;+0:1]-[OH;D1;+0:2],[C:1]-[C;H0;D3;+0:2](-[C;D1;H3:3])=[O;H0;D1;+0:4]>>[C:1]-[CH;D3;+0:2](-[C;D1;H3:3])-[OH;D1;+0:4]
78,CCC(O)C,CCC(=O)O,[CH3:1][CH2:2][CH:3]([OH:4])C>>[CH3:1][CH2:2][C:3](=[O:4])[OH:5],I2,[C;H0;D3;+0:1]=[O;H0;D1;+0:2]>>C-[CH;D3;+0:1]-[OH;D1;+0:2],[C:2]-[C;H0;D3;+0:1]=[O;H0;D1;+0:3]>>C-[CH;D3;+0:1](-[C:2])-[OH;D1;+0:3]
79,CC(C)=C(C)C.[K+].O=[Mn]([O-])(=O)=O,CC(=O)C,CC(C)=[C:2]([CH3:1])[CH3:4].[K+].O=[Mn]([O-])(=O)=[O:3]>>[CH3:1][C:2](=[O:3])[CH3:4],浓，KMnO4,[C;H0;D3;+0:1]=[O;H0;D1;+0:2]>>C-C(-C)=[C;H0;D3;+0:1].O=[Mn](=O)(-[O-])=[O;H0;D1;+0:2],[C;D1;H3:2]-[C;H0;D3;+0:1](-[C;D1;H3:3])=[O;H0;D1;+0:4]>>C-C(-C)=[C;H0;D3;+0:1](-[C;D1;H3:2])-[C;D1;H3:3].O=[Mn](=O)(-[O-])=[O;H0;D1;+0:4]
80,CC(C)=C(C)C.[K+].O=[Mn]([O-])(=O)=O,CC(=O)C,CC(C)=[C:2]([CH3:1])[CH3:4].[K+].O=[Mn]([O-])(=O)=[O:3]>>[CH3:1][C:2](=[O:3])[CH3:4],浓，KMnO4,[C;H0;D3;+0:1]=[O;H0;D1;+0:2]>>C-C(-C)=[C;H0;D3;+0:1].O=[Mn](=O)(-[O-])=[O;H0;D1;+0:2],[C;D1;H3:2]-[C;H0;D3;+0:1](-[C;D1;H3:3])=[O;H0;D1;+0:4]>>C-C(-C)=[C;H0;D3;+0:1](-[C;D1;H3:2])-[C;D1;H3:3].O=[Mn](=O)(-[O-])=[O;H0;D1;+0:4]
81,CCO.[K+].O=[Mn]([O-])(=O)=O,CC(=O)O,[CH3:1][CH2:2][OH:4].[K+].O=[Mn]([O-])(=[O:3])=O>>[CH3:1][C:2](=[O:3])[OH:4],"KMnO4,OH-",[C;H0;D3;+0:2]=[O;H0;D1;+0:1]>>O=[Mn](=O)(-[O-])=[O;H0;D1;+0:1].[CH2;D2;+0:2],[C;D1;H3:2]-[C;H0;D3;+0:3](-[O;D1;H1:4])=[O;H0;D1;+0:1]>>O=[Mn](=O)(-[O-])=[O;H0;D1;+0:1].[C;D1;H3:2]-[CH2;D2;+0:3]-[O;D1;H1:4]
82,CC(C)(C)Br.CC[Mg]Cl,CC(C)(C)CC,[CH3:1][C:2]([CH3:3])([CH3:4])Br.[CH3:6][CH2:5][Mg]Cl>>[CH3:1][C:2]([CH3:3])([CH3:4])[CH2:5][CH3:6],,[C;H0;D4;+0:1]-[CH2;D2;+0:2]>>Br-[C;H0;D4;+0:1].Cl-[Mg]-[CH2;D2;+0:2],[C;D1;H3:2]-[C;H0;D4;+0:1](-[C;D1;H3:3])(-[C;D1;H3:4])-[CH2;D2;+0:5]-[C;D1;H3:6]>>Br-[C;H0;D4;+0:1](-[C;D1;H3:2])(-[C;D1;H3:3])-[C;D1;H3:4].Cl-[Mg]-[CH2;D2;+0:5]-[C;D1;H3:6]
83,CC(C)(C)Cl.CC[Mg]Cl,CC(C)(C)CC,[CH3:1][C:2]([CH3:3])([CH3:4])Cl.[CH3:6][CH2:5][Mg]Cl>>[CH3:1][C:2]([CH3:3])([CH3:4])[CH2:5][CH3:6],,[C;H0;D4;+0:1]-[CH2;D2;+0:2]>>Cl-[C;H0;D4;+0:1].Cl-[Mg]-[CH2;D2;+0:2],[C;D1;H3:2]-[C;H0;D4;+0:1](-[C;D1;H3:3])(-[C;D1;H3:4])-[CH2;D2;+0:5]-[C;D1;H3:6]>>Cl-[C;H0;D4;+0:1](-[C;D1;H3:2])(-[C;D1;H3:3])-[C;D1;H3:4].Cl-[Mg]-[CH2;D2;+0:5]-[C;D1;H3:6]
84,CCF.CC(C)(C)[Mg]Cl,CC(C)(C)CC,[CH3:5][CH2:6]F.[CH3:1][C:2]([CH3:3])([CH3:4])[Mg]Cl>>[CH3:1][C:2]([CH3:3])([CH3:4])[CH2:5][CH3:6],,[C;H0;D4;+0:1]-[CH2;D2;+0:3]-[CH3;D1;+0:2]>>Cl-[Mg]-[C;H0;D4;+0:1].F-[CH2;D2;+0:2]-[CH3;D1;+0:3],[C;D1;H3:2]-[C;H0;D4;+0:1](-[C;D1;H3:3])(-[C;D1;H3:4])-[CH2;D2;+0:6]-[CH3;D1;+0:5]>>Cl-[Mg]-[C;H0;D4;+0:1](-[C;D1;H3:2])(-[C;D1;H3:3])-[C;D1;H3:4].F-[CH2;D2;+0:5]-[CH3;D1;+0:6]
85,CCI.CC(C)(C)[Mg]Cl,CC(C)(C)CC,[CH3:5][CH2:6]I.[CH3:1][C:2]([CH3:3])([CH3:4])[Mg]Cl>>[CH3:1][C:2]([CH3:3])([CH3:4])[CH2:5][CH3:6],,[C;H0;D4;+0:1]-[CH2;D2;+0:3]-[CH3;D1;+0:2]>>Cl-[Mg]-[C;H0;D4;+0:1].I-[CH2;D2;+0:2]-[CH3;D1;+0:3],[C;D1;H3:2]-[C;H0;D4;+0:1](-[C;D1;H3:3])(-[C;D1;H3:4])-[CH2;D2;+0:6]-[CH3;D1;+0:5]>>Cl-[Mg]-[C;H0;D4;+0:1](-[C;D1;H3:2])(-[C;D1;H3:3])-[C;D1;H3:4].I-[CH2;D2;+0:5]-[CH3;D1;+0:6]
86,CC(C)(C)Br.C[Mg]Cl,CC(C)(C)C,[CH3:1][C:2]([CH3:3])([CH3:5])Br.[CH3:4][Mg]Cl>>[CH3:1][C:2]([CH3:3])([CH3:4])[CH3:5],,[C;H0;D4;+0:1]-[CH3;D1;+0:2]>>Br-[C;H0;D4;+0:1].Cl-[Mg]-[CH3;D1;+0:2],[C;D1;H3:2]-[C;H0;D4;+0:1](-[C;D1;H3:3])(-[C;D1;H3:4])-[CH3;D1;+0:5]>>Br-[C;H0;D4;+0:1](-[C;D1;H3:2])(-[C;D1;H3:3])-[C;D1;H3:4].Cl-[Mg]-[CH3;D1;+0:5]
87,CC(C)(C)Cl.C[Mg]Cl,CC(C)(C)C,[CH3:3][C:2]([CH3:4])([CH3:5])Cl.[CH3:1][Mg]Cl>>[CH3:1][C:2]([CH3:3])([CH3:4])[CH3:5],,[C;H0;D4;+0:1]-[CH3;D1;+0:2]>>Cl-[C;H0;D4;+0:1].Cl-[Mg]-[CH3;D1;+0:2],[C;D1;H3:2]-[C;H0;D4;+0:1](-[C;D1;H3:3])(-[C;D1;H3:4])-[CH3;D1;+0:5]>>Cl-[C;H0;D4;+0:1](-[C;D1;H3:2])(-[C;D1;H3:3])-[C;D1;H3:4].Cl-[Mg]-[CH3;D1;+0:5]
88,CF.CC(C)(C)[Mg]Cl,CC(C)(C)C,[CH3:1]F.[CH3:4][C:2]([CH3:3])([CH3:5])[Mg]Cl>>[CH3:1][C:2]([CH3:3])([CH3:4])[CH3:5],,[C;H0;D4;+0:1]-[CH3;D1;+0:2]>>Cl-[Mg]-[C;H0;D4;+0:1].F-[CH3;D1;+0:2],[C;D1;H3:2]-[C;H0;D4;+0:1](-[C;D1;H3:3])(-[C;D1;H3:4])-[CH3;D1;+0:5]>>Cl-[Mg]-[C;H0;D4;+0:1](-[C;D1;H3:2])(-[C;D1;H3:3])-[C;D1;H3:4].F-[CH3;D1;+0:5]
89,CI.CC(C)(C)[Mg]Cl,CC(C)(C)C,[CH3:1]I.[CH3:4][C:2]([CH3:3])([CH3:5])[Mg]Cl>>[CH3:1][C:2]([CH3:3])([CH3:4])[CH3:5],,[C;H0;D4;+0:1]-[CH3;D1;+0:2]>>Cl-[Mg]-[C;H0;D4;+0:1].I-[CH3;D1;+0:2],[C;D1;H3:2]-[C;H0;D4;+0:1](-[C;D1;H3:3])(-[C;D1;H3:4])-[CH3;D1;+0:5]>>Cl-[Mg]-[C;H0;D4;+0:1](-[C;D1;H3:2])(-[C;D1;H3:3])-[C;D1;H3:4].I-[CH3;D1;+0:5]
90,[Mg].CC(C)(C)Cl,CC(C)(C)[Mg]Cl,[Mg:5].[CH3:1][C:2]([CH3:3])([CH3:4])[Cl:6]>>[CH3:1][C:2]([CH3:3])([CH3:4])[Mg:5][Cl:6],无水乙醚,[C;H0;D4;+0:1]-[Mg;H0;D2;+0:3]-[Cl;H0;D1;+0:2]>>[C;H0;D4;+0:1]-[Cl;H0;D1;+0:2].[Mg;H0;D0;+0:3],[C;D1;H3:1]-[C;H0;D4;+0:2](-[C;D1;H3:3])(-[C;D1;H3:4])-[Mg;H0;D2;+0:6]-[Cl;H0;D1;+0:5]>>[C;D1;H3:1]-[C;H0;D4;+0:2](-[C;D1;H3:3])(-[C;D1;H3:4])-[Cl;H0;D1;+0:5].[Mg;H0;D0;+0:6]
91,[Mg].CC(C)(C)F,CC(C)(C)[Mg]F,[Mg:5].[CH3:1][C:2]([CH3:3])([CH3:4])[F:6]>>[CH3:1][C:2]([CH3:3])([CH3:4])[Mg:5][F:6],无水乙醚,[C;H0;D4;+0:1]-[Mg;H0;D2;+0:3]-[F;H0;D1;+0:2]>>[C;H0;D4;+0:1]-[F;H0;D1;+0:2].[Mg;H0;D0;+0:3],[C;D1;H3:1]-[C;H0;D4;+0:2](-[C;D1;H3:3])(-[C;D1;H3:4])-[Mg;H0;D2;+0:6]-[F;H0;D1;+0:5]>>[C;D1;H3:1]-[C;H0;D4;+0:2](-[C;D1;H3:3])(-[C;D1;H3:4])-[F;H0;D1;+0:5].[Mg;H0;D0;+0:6]
92,[Mg].CC(C)(C)I,CC(C)(C)[Mg]I,[Mg:5].[CH3:1][C:2]([CH3:3])([CH3:4])[I:6]>>[CH3:1][C:2]([CH3:3])([CH3:4])[Mg:5][I:6],无水乙醚,[C;H0;D4;+0:1]-[Mg;H0;D2;+0:3]-[I;H0;D1;+0:2]>>[C;H0;D4;+0:1]-[I;H0;D1;+0:2].[Mg;H0;D0;+0:3],[C;D1;H3:1]-[C;H0;D4;+0:2](-[C;D1;H3:3])(-[C;D1;H3:4])-[Mg;H0;D2;+0:6]-[I;H0;D1;+0:5]>>[C;D1;H3:1]-[C;H0;D4;+0:2](-[C;D1;H3:3])(-[C;D1;H3:4])-[I;H0;D1;+0:5].[Mg;H0;D0;+0:6]
93,CC(F)(C)C.CO,CC(C)(C)OC,[CH3:1][C:2](F)([CH3:3])[CH3:4].[CH3:6][OH:5]>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][CH3:6],,[C;H0;D4;+0:1]-[O;H0;D2;+0:2]>>F-[C;H0;D4;+0:1].[OH;D1;+0:2],[C;D1;H3:2]-[C;H0;D4;+0:1](-[C;D1;H3:3])(-[C;D1;H3:4])-[O;H0;D2;+0:6]-[C;D1;H3:5]>>F-[C;H0;D4;+0:1](-[C;D1;H3:2])(-[C;D1;H3:3])-[C;D1;H3:4].[C;D1;H3:5]-[OH;D1;+0:6]
94,CC(C)(C)F.O,CC(C)(C)O,[CH3:1][C:2]([CH3:3])([CH3:4])F.[OH2:5]>>[CH3:1][C:2]([CH3:3])([CH3:4])[OH:5],,[C;H0;D4;+0:1]-[OH;D1;+0:2]>>F-[C;H0;D4;+0:1].[OH2;D0;+0:2],[C;D1;H3:2]-[C;H0;D4;+0:1](-[C;D1;H3:3])(-[C;D1;H3:4])-[OH;D1;+0:5]>>F-[C;H0;D4;+0:1](-[C;D1;H3:2])(-[C;D1;H3:3])-[C;D1;H3:4].[OH2;D0;+0:5]
95,CC(C)(C)F.CC[Mg]Cl,CC(C)(C)CC,[CH3:1][C:2]([CH3:3])([CH3:4])F.[CH3:6][CH2:5][Mg]Cl>>[CH3:1][C:2]([CH3:3])([CH3:4])[CH2:5][CH3:6],,[C;H0;D4;+0:2]-[CH2;D2;+0:1]>>Cl-[Mg]-[CH2;D2;+0:1].F-[C;H0;D4;+0:2],[C;D1;H3:4]-[C;H0;D4;+0:3](-[C;D1;H3:5])(-[C;D1;H3:6])-[CH2;D2;+0:1]-[C;D1;H3:2]>>Cl-[Mg]-[CH2;D2;+0:1]-[C;D1;H3:2].F-[C;H0;D4;+0:3](-[C;D1;H3:4])(-[C;D1;H3:5])-[C;D1;H3:6]
96,CC(C)(C)I.CC[Mg]Cl,CC(C)(C)CC,[CH3:1][C:2]([CH3:3])([CH3:4])I.[CH3:6][CH2:5][Mg]Cl>>[CH3:1][C:2]([CH3:3])([CH3:4])[CH2:5][CH3:6],,[C;H0;D4;+0:2]-[CH2;D2;+0:1]>>Cl-[Mg]-[CH2;D2;+0:1].I-[C;H0;D4;+0:2],[C;D1;H3:4]-[C;H0;D4;+0:3](-[C;D1;H3:5])(-[C;D1;H3:6])-[CH2;D2;+0:1]-[C;D1;H3:2]>>Cl-[Mg]-[CH2;D2;+0:1]-[C;D1;H3:2].I-[C;H0;D4;+0:3](-[C;D1;H3:4])(-[C;D1;H3:5])-[C;D1;H3:6]
97,CBr.CC(C)(C)[Mg]Cl,CC(C)(C)C,[CH3:1]Br.[CH3:4][C:2]([CH3:3])([CH3:5])[Mg]Cl>>[CH3:1][C:2]([CH3:3])([CH3:4])[CH3:5],,[C;H0;D4;+0:2]-[CH3;D1;+0:1]>>Br-[CH3;D1;+0:1].Cl-[Mg]-[C;H0;D4;+0:2],[C;D1;H3:3]-[C;H0;D4;+0:2](-[C;D1;H3:4])(-[C;D1;H3:5])-[CH3;D1;+0:1]>>Br-[CH3;D1;+0:1].Cl-[Mg]-[C;H0;D4;+0:2](-[C;D1;H3:3])(-[C;D1;H3:4])-[C;D1;H3:5]
98,CCl.CC(C)(C)[Mg]Cl,CC(C)(C)C,[CH3:1]Cl.[CH3:4][C:2]([CH3:3])([CH3:5])[Mg]Cl>>[CH3:1][C:2]([CH3:3])([CH3:4])[CH3:5],,[C;H0;D4;+0:2]-[CH3;D1;+0:1]>>Cl-[CH3;D1;+0:1].Cl-[Mg]-[C;H0;D4;+0:2],[C;D1;H3:3]-[C;H0;D4;+0:2](-[C;D1;H3:4])(-[C;D1;H3:5])-[CH3;D1;+0:1]>>Cl-[CH3;D1;+0:1].Cl-[Mg]-[C;H0;D4;+0:2](-[C;D1;H3:3])(-[C;D1;H3:4])-[C;D1;H3:5]
99,CC(C)(C)F.C[Mg]Cl,CC(C)(C)C,[CH3:1][C:2]([CH3:3])([CH3:5])F.[CH3:4][Mg]Cl>>[CH3:1][C:2]([CH3:3])([CH3:4])[CH3:5],,[C;H0;D4;+0:2]-[CH3;D1;+0:1]>>Cl-[Mg]-[CH3;D1;+0:1].F-[C;H0;D4;+0:2],[C;D1;H3:3]-[C;H0;D4;+0:2](-[C;D1;H3:4])(-[C;D1;H3:5])-[CH3;D1;+0:1]>>Cl-[Mg]-[CH3;D1;+0:1].F-[C;H0;D4;+0:2](-[C;D1;H3:3])(-[C;D1;H3:4])-[C;D1;H3:5]
100,CC(C)(C)I.C[Mg]Cl,CC(C)(C)C,[CH3:1][C:2]([CH3:3])([CH3:5])I.[CH3:4][Mg]Cl>>[CH3:1][C:2]([CH3:3])([CH3:4])[CH3:5],,[C;H0;D4;+0:2]-[CH3;D1;+0:1]>>Cl-[Mg]-[CH3;D1;+0:1].I-[C;H0;D4;+0:2],[C;D1;H3:3]-[C;H0;D4;+0:2](-[C;D1;H3:4])(-[C;D1;H3:5])-[CH3;D1;+0:1]>>Cl-[Mg]-[CH3;D1;+0:1].I-[C;H0;D4;+0:2](-[C;D1;H3:3])(-[C;D1;H3:4])-[C;D1;H3:5]
101,CC(C)C.ClCl,CC(C)(Cl)C,[CH3:1][CH:2]([CH3:3])[CH3:5].Cl[Cl:4]>>[CH3:1][C:2]([CH3:3])([Cl:4])[CH3:5],光照或250℃以上,[C;H0;D4;+0:2]-[Cl;H0;D1;+0:1]>>Cl-[Cl;H0;D1;+0:1].[CH;D3;+0:2],[C;D1;H3:2]-[C;H0;D4;+0:3](-[C;D1;H3:4])(-[C;D1;H3:5])-[Cl;H0;D1;+0:1]>>Cl-[Cl;H0;D1;+0:1].[C;D1;H3:2]-[CH;D3;+0:3](-[C;D1;H3:4])-[C;D1;H3:5]
102,CC(C)=C(C)C.OO,CC1(C)C(C)(C)O1,[CH3:5][C:4]([CH3:6])=[C:2]([CH3:1])[CH3:3].[OH:7]O>>[CH3:1][C:2]1([CH3:3])[C:4]([CH3:5])([CH3:6])[O:7]1,RCOOOH,[C;H0;D4;+0:2]1-[C;H0;D4;+0:3]-[O;H0;D2;+0:1]-1>>O-[OH;D1;+0:1].[C;H0;D3;+0:2]=[C;H0;D3;+0:3],[C;D1;H3:2]-[C;H0;D4;+0:3]1(-[C;D1;H3:4])-[O;H0;D2;+0:1]-[C;H0;D4;+0:5]-1(-[C;D1;H3:6])-[C;D1;H3:7]>>O-[OH;D1;+0:1].[C;D1;H3:2]-[C;H0;D3;+0:3](-[C;D1;H3:4])=[C;H0;D3;+0:5](-[C;D1;H3:6])-[C;D1;H3:7]
103,CCBr.CC(C)(C)[Mg]Cl,CC(C)(C)CC,[CH3:5][CH2:6]Br.[CH3:1][C:2]([CH3:3])([CH3:4])[Mg]Cl>>[CH3:1][C:2]([CH3:3])([CH3:4])[CH2:5][CH3:6],,[C;H0;D4;+0:3]-[CH2;D2;+0:2]-[CH3;D1;+0:1]>>Br-[CH2;D2;+0:1]-[CH3;D1;+0:2].Cl-[Mg]-[C;H0;D4;+0:3],[C;D1;H3:4]-[C;H0;D4;+0:3](-[C;D1;H3:5])(-[C;D1;H3:6])-[CH2;D2;+0:2]-[CH3;D1;+0:1]>>Br-[CH2;D2;+0:1]-[CH3;D1;+0:2].Cl-[Mg]-[C;H0;D4;+0:3](-[C;D1;H3:4])(-[C;D1;H3:5])-[C;D1;H3:6]
104,CCCl.CC(C)(C)[Mg]Cl,CC(C)(C)CC,[CH3:5][CH2:6]Cl.[CH3:1][C:2]([CH3:3])([CH3:4])[Mg]Cl>>[CH3:1][C:2]([CH3:3])([CH3:4])[CH2:5][CH3:6],,[C;H0;D4;+0:3]-[CH2;D2;+0:2]-[CH3;D1;+0:1]>>Cl-[CH2;D2;+0:1]-[CH3;D1;+0:2].Cl-[Mg]-[C;H0;D4;+0:3],[C;D1;H3:4]-[C;H0;D4;+0:3](-[C;D1;H3:5])(-[C;D1;H3:6])-[CH2;D2;+0:2]-[CH3;D1;+0:1]>>Cl-[CH2;D2;+0:1]-[CH3;D1;+0:2].Cl-[Mg]-[C;H0;D4;+0:3](-[C;D1;H3:4])(-[C;D1;H3:5])-[C;D1;H3:6]
105,CC#CC,C/C=C\C,[CH3:1][C:2]#[C:3][CH3:4]>>[CH3:1]/[CH:2]=[CH:3]\[CH3:4],H2 Lindlar catalysis,[CH;D2;+0:1]=[CH;D2;+0:2]>>[C;H0;D2;+0:1]#[C;H0;D2;+0:2],[C;D1;H3:1]/[CH;D2;+0:2]=[CH;D2;+0:3]\[C;D1;H3:4]>>[C;D1;H3:1]-[C;H0;D2;+0:2]#[C;H0;D2;+0:3]-[C;D1;H3:4]
